iter	Logloss
117	0.3890778296
118	0.3886077197
119	0.387844992
120	0.3874558353
121	0.3870522875
122	0.3862820518
123	0.3859722824
124	0.385077411
125	0.3844768854
126	0.3837536902
127	0.3828512418
128	0.3822024054
129	0.381734416
130	0.3814696716
131	0.3808963567
132	0.380184946
133	0.379834954
134	0.3792180917
135	0.3785476018
136	0.3776794016
137	0.3770719559
138	0.3766511354
139	0.3762806097
140	0.3757001332
141	0.3753517906
142	0.3744729633
143	0.3737386446
144	0.3729288168
145	0.3722946793
146	0.3717649768
147	0.371294309
148	0.3711375666
149	0.3706495563
150	0.3702942028
151	0.3695409915
152	0.3694834772
153	0.3692320999
154	0.368743514
155	0.3683296921
156	0.3676729058
157	0.3671975963
158	0.3668460413
159	0.3663609912
160	0.3658046925
161	0.3654696
162	0.3648648751
163	0.3645263241
164	0.3642953377
165	0.363827652
166	0.3633491771
167	0.3629832096
168	0.3623846482
169	0.3621511758
170	0.3613938514
171	0.3606975676
172	0.3604486589
173	0.3597801083
174	0.35952156
175	0.3591932797
176	0.358485354
177	0.3576939458
178	0.3573784339
179	0.3571041668
180	0.3568523748
181	0.3563762809
182	0.3556745239
183	0.35540638
184	0.3547309753
185	0.3539733181
186	0.3536253132
187	0.3532260365
188	0.3529320473
189	0.3525837308
190	0.3519963621
191	0.3515257251
192	0.3514710317
193	0.3510417445
194	0.3506766501
195	0.3503227076
196	0.3495985084
197	0.3492696547
198	0.3489568392
199	0.3485554422
200	0.3481141659
201	0.3476140651
202	0.3469411748
203	0.3469145919
204	0.3467416449
205	0.3464541583
206	0.3461821459
207	0.3457981227
208	0.3454085724
209	0.3449369411
210	0.3446416291
211	0.3442325265
212	0.3436302789
213	0.3434145073
214	0.3431163668
215	0.3426849546
216	0.3422999287
217	0.3418402875
218	0.3411690193
219	0.3405558772
220	0.3402171453
221	0.3397305089
222	0.3392566028
223	0.3387555036
224	0.3385849102
225	0.3382492881
226	0.3376241822
227	0.3372856224
228	0.3369662963
229	0.3365882974
230	0.336394353
231	0.335884986
232	0.3354988955
233	0.3351510385
234	0.3347143287
235	0.3343603643
236	0.3337723716
237	0.3334888814
238	0.3330971842
239	0.3328536171
240	0.3325086077
241	0.3319397258
242	0.3317180464
243	0.3313746907
244	0.3308262979
245	0.3305842281
246	0.3301719913
247	0.3295841511
248	0.3293201983
249	0.3288446967
250	0.3284962984
251	0.3281938964
252	0.32794369
253	0.3275691105
254	0.3270587599
255	0.3265233793
256	0.3261020331
257	0.3256468397
258	0.3253444564
259	0.3250547174
260	0.3246368867
261	0.3242538807
262	0.3236993645
263	0.3233801391
264	0.3230171663
265	0.322480033
266	0.3223450949
267	0.3217602451
268	0.3212236522
269	0.3208148122
270	0.3204563397
271	0.3197181997
272	0.3194704431
273	0.3191985558
274	0.3189121436
275	0.318582773
276	0.3181218747
277	0.3176264661
278	0.3173274644
279	0.31683793
280	0.3164810081
281	0.3160823233
282	0.3156230212
283	0.3152630234
284	0.314790294
285	0.3144222605
286	0.3141739817
287	0.3139473929
288	0.3135756004
289	0.3131733765
290	0.3125678042
291	0.3121293068
292	0.3115515795
293	0.3113097622
294	0.3109986901
295	0.3107589712
296	0.3104878254
297	0.3099447078
298	0.3097623528
299	0.3094983654
300	0.3091129
301	0.3088196606
302	0.3086564196
303	0.3084922587
304	0.3081862825
305	0.3078952109
306	0.3075919659
307	0.3071243185
308	0.3069065885
309	0.3065017392
310	0.3063425507
311	0.3059107228
312	0.3054709669
313	0.3050933515
314	0.3046099868
315	0.3040416461
316	0.3039799338
317	0.3037530034
318	0.3035222634
319	0.3033344037
320	0.3029379558
321	0.3027188262
322	0.3023676736
323	0.3019989597
324	0.3016131093
325	0.3011923137
326	0.3007668632
327	0.3003519438
328	0.299945933
329	0.2995524097
330	0.2991843383
331	0.2990069812
332	0.2984513322
333	0.298167226
334	0.2979499692
335	0.2977769768
336	0.2974151028
337	0.2971831452
338	0.2968049917
339	0.2964959715
340	0.2963016962
341	0.2959317973
342	0.2957332527
343	0.2955187464
344	0.2952676186
345	0.2950831983
346	0.2947874536
347	0.2943352091
348	0.2934990534
349	0.2931478895
350	0.2928387246
351	0.2926855254
352	0.2923686952
353	0.2921371435
354	0.291832926
355	0.2915610355
356	0.2912458643
357	0.2910018667
358	0.2906508875
359	0.2905476988
360	0.290137312
361	0.2893781315
362	0.2888358917
363	0.2884505739
364	0.2881551126
365	0.287815786
366	0.2871190992
367	0.2868245022
368	0.2863609956
369	0.2859001475
370	0.2855273496
371	0.2853814645
372	0.2848035607
373	0.2845403972
374	0.2841423963
375	0.2838358811
376	0.2835586781
377	0.2832947162
378	0.2828259822
379	0.2826335327
380	0.2823269159
381	0.2820398484
382	0.281665515
383	0.281307884
384	0.2810138408
385	0.2808312259
386	0.2804648589
387	0.2801762321
388	0.2798923912
389	0.279539167
390	0.2792200408
391	0.2791002521
392	0.2787712957
393	0.2783648329
394	0.278128201
395	0.2776792947
396	0.277538649
397	0.2768656896
398	0.2764926072
399	0.2762964
400	0.2759205766
401	0.2757165352
402	0.275433318
403	0.2752535873
404	0.2750493407
405	0.2749162317
406	0.2747202674
407	0.2742501427
408	0.2740050887
409	0.273830165
410	0.2735254315
411	0.2732420619
412	0.2727307448
413	0.2724904912
414	0.272293115
415	0.2719128594
416	0.271644939
417	0.2715536519
418	0.2711752574
419	0.2709931275
420	0.2706642387
421	0.2704056371
422	0.2702165927
423	0.2699758652
424	0.2696761243
425	0.269434984
426	0.269260569
427	0.2687705738
428	0.2686071206
429	0.2681530906
430	0.2679107235
431	0.2676364944
432	0.267358701
433	0.2671004342
434	0.2667454303
435	0.2665003759
436	0.2663269617
437	0.2659579586
438	0.2658374991
439	0.2656911782
440	0.2654530513
441	0.2651474007
442	0.2649911249
443	0.2646066701
444	0.2644769964
445	0.2640929239
446	0.2638895354
447	0.263684836
448	0.2634856036
449	0.2632556877
450	0.262836231
451	0.2625937826
452	0.2622956579
453	0.2620161166
454	0.2616038131
455	0.2612800962
456	0.2610483218
457	0.2606627034
458	0.2605150459
459	0.260222492
460	0.2599820812
461	0.2598345843
462	0.2595669068
463	0.2592565946
464	0.2590135941
465	0.2587983706
466	0.2585035612
467	0.2582322658
468	0.2580332168
469	0.2577588267
470	0.2575797802
471	0.2573816289
472	0.2570474417
473	0.2568268855
474	0.256659478
475	0.2564561293
476	0.2561565067
477	0.2557255835
478	0.2554823874
479	0.2552005094
480	0.2549245931
481	0.2547261652
482	0.2545327905
483	0.2543405201
484	0.254027694
485	0.2538326323
486	0.2536735392
487	0.2534703453
488	0.253351801
489	0.2532013839
490	0.2530008548
491	0.2526636404
492	0.2525286412
493	0.2521509982
494	0.2516126559
495	0.2511753777
496	0.250871646
497	0.2505254066
498	0.2502990099
499	0.2500919765
